"Category","FileName","OriginalPath","CopiedPath","FileSize","ModifiedTime","Status","Notes"
"Source Build Script","BUILD_WINDOWS.bat","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Source\BUILD_WINDOWS.bat","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/SourceBuild/BUILD_WINDOWS.bat","261","2026-08-12T21:16:36+08:00","CURRENT","Direct deterministic v002 build/export script."
"Legacy Validator","InfantryL2Validator.cs","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Tools\UnityEditor\InfantryL2Validator.cs","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/InfantryL2Validator.cs","4235","2026-08-12T16:46:33+08:00","LEGACY","Legacy L2 validator."
"Unity Script","InfantryL3PrefabBuilder.cs","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Editor\InfantryL3PrefabBuilder.cs","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/InfantryL3PrefabBuilder.cs","22667","2026-08-13T12:16:52+08:00","CURRENT","Direct builder, presentation, binding, validation or evidence script."
"Unity Script Meta","InfantryL3PrefabBuilder.cs.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Editor\InfantryL3PrefabBuilder.cs.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/InfantryL3PrefabBuilder.cs.meta","59","2026-08-12T21:21:34+08:00","CURRENT","Unity script GUID."
"Unity Script","InfantryArtPrefabBuilder.cs","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Editor\InfantryArtPrefabBuilder.cs","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/InfantryArtPrefabBuilder.cs","12863","2026-08-12T17:19:41+08:00","CURRENT","Direct builder, presentation, binding, validation or evidence script."
"Unity Script Meta","InfantryArtPrefabBuilder.cs.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Editor\InfantryArtPrefabBuilder.cs.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/InfantryArtPrefabBuilder.cs.meta","59","2026-08-12T17:20:58+08:00","CURRENT","Unity script GUID."
"Unity Script","PlayablePrototypeSmokeValidation.cs","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Editor\PlayablePrototypeSmokeValidation.cs","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PlayablePrototypeSmokeValidation.cs","9020","2026-08-13T09:16:00+08:00","CURRENT","Direct builder, presentation, binding, validation or evidence script."
"Unity Script Meta","PlayablePrototypeSmokeValidation.cs.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Editor\PlayablePrototypeSmokeValidation.cs.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PlayablePrototypeSmokeValidation.cs.meta","59","2026-08-12T17:25:14+08:00","CURRENT","Unity script GUID."
"Unity Script","PrototypeUnitArtCatalog.cs","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Demo\PlayablePrototype\PrototypeUnitArtCatalog.cs","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PrototypeUnitArtCatalog.cs","1885","2026-08-13T09:07:23+08:00","CURRENT","Direct builder, presentation, binding, validation or evidence script."
"Unity Script Meta","PrototypeUnitArtCatalog.cs.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Demo\PlayablePrototype\PrototypeUnitArtCatalog.cs.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PrototypeUnitArtCatalog.cs.meta","59","2026-08-12T17:20:58+08:00","CURRENT","Unity script GUID."
"Unity Script","PrototypeUnitArtView.cs","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Demo\PlayablePrototype\PrototypeUnitArtView.cs","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PrototypeUnitArtView.cs","3442","2026-08-13T09:07:23+08:00","CURRENT","Direct builder, presentation, binding, validation or evidence script."
"Unity Script Meta","PrototypeUnitArtView.cs.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Demo\PlayablePrototype\PrototypeUnitArtView.cs.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PrototypeUnitArtView.cs.meta","59","2026-08-12T17:20:58+08:00","CURRENT","Unity script GUID."
"Unity Script","PrototypeUnitAnimatorView.cs","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Demo\PlayablePrototype\PrototypeUnitAnimatorView.cs","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PrototypeUnitAnimatorView.cs","6679","2026-08-13T11:58:35+08:00","CURRENT","Direct builder, presentation, binding, validation or evidence script."
"Unity Script Meta","PrototypeUnitAnimatorView.cs.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Demo\PlayablePrototype\PrototypeUnitAnimatorView.cs.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PrototypeUnitAnimatorView.cs.meta","59","2026-08-12T21:21:34+08:00","CURRENT","Unity script GUID."
"Unity Script","PlayablePrototypeBootstrap.cs","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Demo\PlayablePrototype\PlayablePrototypeBootstrap.cs","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PlayablePrototypeBootstrap.cs","70177","2026-08-13T11:53:44+08:00","CURRENT","Direct builder, presentation, binding, validation or evidence script."
"Unity Script Meta","PlayablePrototypeBootstrap.cs.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Demo\PlayablePrototype\PlayablePrototypeBootstrap.cs.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PlayablePrototypeBootstrap.cs.meta","59","2026-08-12T00:09:19+08:00","CURRENT","Unity script GUID."
"Unity Script","PlayablePrototypePlayModeTests.cs","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Tests\PlayMode\PlayablePrototypePlayModeTests.cs","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PlayablePrototypePlayModeTests.cs","75389","2026-08-13T12:25:52+08:00","CURRENT","Direct builder, presentation, binding, validation or evidence script."
"Unity Script Meta","PlayablePrototypePlayModeTests.cs.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Tests\PlayMode\PlayablePrototypePlayModeTests.cs.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/Unity/PlayablePrototypePlayModeTests.cs.meta","59","2026-08-12T00:12:37+08:00","CURRENT","Unity script GUID."
"Source Specification","ASSET_MANIFEST.md","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\ASSET_MANIFEST.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v001/ASSET_MANIFEST.md","4578","2026-08-12T17:31:23+08:00","LEGACY","v001 delivery/specification record."
"Source Specification","DELIVERY_README.md","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Documentation\DELIVERY_README.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v001/Documentation/DELIVERY_README.md","527","2026-08-12T16:46:33+08:00","LEGACY","v001 delivery/specification record."
"Source Specification","L2_DELIVERY_REPORT.md","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Documentation\L2_DELIVERY_REPORT.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v001/Documentation/L2_DELIVERY_REPORT.md","2756","2026-08-12T16:46:33+08:00","LEGACY","v001 delivery/specification record."
"Source Specification","L2_METRICS.json","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Documentation\L2_METRICS.json","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v001/Documentation/L2_METRICS.json","1064","2026-08-12T16:46:33+08:00","LEGACY","v001 delivery/specification record."
"Source Specification","Unity_Hierarchy.txt","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Documentation\Unity_Hierarchy.txt","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v001/Documentation/Unity_Hierarchy.txt","367","2026-08-12T16:46:33+08:00","LEGACY","v001 delivery/specification record."
"Source Specification","ASSET_MANIFEST.md","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\ASSET_MANIFEST.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v002/ASSET_MANIFEST.md","1463","2026-08-12T21:32:17+08:00","CURRENT","v002 delivery/provenance/import/manifest record."
"Source Specification","ANIMATION_EVENTS.json","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Documentation\ANIMATION_EVENTS.json","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v002/Documentation/ANIMATION_EVENTS.json","717","2026-08-12T22:26:47+08:00","CURRENT","v002 delivery/provenance/import/manifest record."
"Source Specification","GENERATION_AND_LICENSE_RECORD.md","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Documentation\GENERATION_AND_LICENSE_RECORD.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v002/Documentation/GENERATION_AND_LICENSE_RECORD.md","4952","2026-08-12T23:01:39+08:00","CURRENT","v002 delivery/provenance/import/manifest record."
"Source Specification","L3_DELIVERY_REPORT.md","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Documentation\L3_DELIVERY_REPORT.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v002/Documentation/L3_DELIVERY_REPORT.md","4745","2026-08-13T12:05:13+08:00","CURRENT","v002 delivery/provenance/import/manifest record."
"Source Specification","MANIFEST.json","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Documentation\MANIFEST.json","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v002/Documentation/MANIFEST.json","4631","2026-08-13T12:05:42+08:00","CURRENT","v002 delivery/provenance/import/manifest record."
"Source Specification","PROMPT.txt","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Documentation\PROMPT.txt","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v002/Documentation/PROMPT.txt","538","2026-08-12T21:31:54+08:00","CURRENT","v002 delivery/provenance/import/manifest record."
"Source Specification","STATUS.md","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Documentation\STATUS.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v002/Documentation/STATUS.md","2613","2026-08-12T23:01:39+08:00","CURRENT","v002 delivery/provenance/import/manifest record."
"Source Specification","UNITY_IMPORT_SETTINGS.md","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Documentation\UNITY_IMPORT_SETTINGS.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v002/Documentation/UNITY_IMPORT_SETTINGS.md","3355","2026-08-12T23:03:54+08:00","CURRENT","v002 delivery/provenance/import/manifest record."
"Source Specification","L2_DELIVERY_REPORT.md","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Input_v001\L2_DELIVERY_REPORT.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v002/Input_v001/L2_DELIVERY_REPORT.md","2756","2026-08-12T21:11:00+08:00","CURRENT","v002 delivery/provenance/import/manifest record."
"Source Specification","README.md","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\README.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/SourceRecords/v002/README.md","1948","2026-08-12T21:30:19+08:00","CURRENT","v002 delivery/provenance/import/manifest record."
"Legacy Specification","00_美術製作總覽與AI任務索引.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtSpecs\00_美術製作總覽與AI任務索引.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/LegacyArtSpecs/00_美術製作總覽與AI任務索引.md","4405","2026-08-12T17:42:29+08:00","CURRENT/LEGACY MIXED","Repository ArtSpec directly applicable to Infantry."
"Legacy Specification","01_技術規格_比例座標與輸出.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtSpecs\01_技術規格_比例座標與輸出.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/LegacyArtSpecs/01_技術規格_比例座標與輸出.md","5362","2026-08-12T15:26:01+08:00","CURRENT/LEGACY MIXED","Repository ArtSpec directly applicable to Infantry."
"Legacy Specification","03_視覺規格_風格材質與陣營色.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtSpecs\03_視覺規格_風格材質與陣營色.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/LegacyArtSpecs/03_視覺規格_風格材質與陣營色.md","3907","2026-08-12T15:26:01+08:00","CURRENT/LEGACY MIXED","Repository ArtSpec directly applicable to Infantry."
"Legacy Specification","05_AI交付格式與驗收清單.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtSpecs\05_AI交付格式與驗收清單.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/LegacyArtSpecs/05_AI交付格式與驗收清單.md","3154","2026-08-12T15:26:01+08:00","CURRENT/LEGACY MIXED","Repository ArtSpec directly applicable to Infantry."
"Legacy Specification","06_尺寸總表.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtSpecs\06_尺寸總表.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/LegacyArtSpecs/06_尺寸總表.md","2722","2026-08-12T15:32:55+08:00","CURRENT/LEGACY MIXED","Repository ArtSpec directly applicable to Infantry."
"Legacy Specification","07_製作批次與目前整合缺口.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtSpecs\07_製作批次與目前整合缺口.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/LegacyArtSpecs/07_製作批次與目前整合缺口.md","5482","2026-08-13T09:29:48+08:00","CURRENT/LEGACY MIXED","Repository ArtSpec directly applicable to Infantry."
"Legacy Specification","Unit_03_步兵.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtSpecs\Unit_03_步兵.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/LegacyArtSpecs/Unit_03_步兵.md","4540","2026-08-12T23:03:54+08:00","CURRENT/LEGACY MIXED","Repository ArtSpec directly applicable to Infantry."
"Legacy Specification","Unit_03_步兵_L3骨架動畫交付規格.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtSpecs\Unit_03_步兵_L3骨架動畫交付規格.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/LegacyArtSpecs/Unit_03_步兵_L3骨架動畫交付規格.md","26567","2026-08-12T22:26:47+08:00","CURRENT/LEGACY MIXED","Repository ArtSpec directly applicable to Infantry."
"Production Specification","README.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\README.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/README.md","6815","2026-08-13T13:02:00+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","01_Project_Asset_Audit.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\01_Project_Asset_Audit.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/01_Project_Asset_Audit.md","11586","2026-08-13T12:52:38+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","02_Asset_Pipeline_L1_L4.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\02_Asset_Pipeline_L1_L4.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/02_Asset_Pipeline_L1_L4.md","5392","2026-08-13T12:52:38+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","03_Character_Production_Quality_Standard.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\03_Character_Production_Quality_Standard.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/03_Character_Production_Quality_Standard.md","3481","2026-08-13T12:52:38+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","04_RTS_Silhouette_and_Readability_Standard.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\04_RTS_Silhouette_and_Readability_Standard.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/04_RTS_Silhouette_and_Readability_Standard.md","2268","2026-08-13T12:52:38+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","05_LOD_and_Performance_Standard.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\05_LOD_and_Performance_Standard.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/05_LOD_and_Performance_Standard.md","3165","2026-08-13T12:54:29+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","06_Texture_Material_TeamColor_Standard.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\06_Texture_Material_TeamColor_Standard.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/06_Texture_Material_TeamColor_Standard.md","3526","2026-08-13T12:54:29+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","07_Rig_Skinning_Animation_Standard.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\07_Rig_Skinning_Animation_Standard.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/07_Rig_Skinning_Animation_Standard.md","4080","2026-08-13T12:54:29+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","08_Golden_Sample_Infantry_Archer.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\08_Golden_Sample_Infantry_Archer.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/08_Golden_Sample_Infantry_Archer.md","3221","2026-08-13T12:54:29+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","09_Existing_Infantry_Archer_Remaster_Audit.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\09_Existing_Infantry_Archer_Remaster_Audit.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/09_Existing_Infantry_Archer_Remaster_Audit.md","5520","2026-08-13T12:54:29+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","13_Asset_Naming_and_Folder_Standard.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\13_Asset_Naming_and_Folder_Standard.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/13_Asset_Naming_and_Folder_Standard.md","2837","2026-08-13T12:55:53+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","14_AI_Asset_Provenance_and_License_Standard.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\14_AI_Asset_Provenance_and_License_Standard.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/14_AI_Asset_Provenance_and_License_Standard.md","2632","2026-08-13T12:55:53+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","15_Unity_RTS_Asset_Acceptance_Checklist.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\15_Unity_RTS_Asset_Acceptance_Checklist.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/15_Unity_RTS_Asset_Acceptance_Checklist.md","9409","2026-08-13T12:59:37+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","16_Master_Production_Checklist.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\16_Master_Production_Checklist.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/16_Master_Production_Checklist.md","7116","2026-08-13T12:59:37+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","17_Asset_Production_Backlog.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\17_Asset_Production_Backlog.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/17_Asset_Production_Backlog.md","8479","2026-08-13T12:59:37+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","99_Open_Issues_and_Missing_Information.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\99_Open_Issues_and_Missing_Information.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/99_Open_Issues_and_Missing_Information.md","11041","2026-08-13T13:01:01+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Production Specification","Legacy_Spec_Migration.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\ArtProduction\RTS_Asset_Production_Spec_v1\Legacy_Spec_Migration.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/ProductionSpec/Legacy_Spec_Migration.md","8911","2026-08-13T13:01:01+08:00","CURRENT PROPOSED STANDARD","Production review gate; does not certify current asset."
"Runtime Contract","26_Framework_API_目標介面.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\26_Framework_API_目標介面.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/RuntimeContracts/26_Framework_API_目標介面.md","32482","2026-08-13T12:33:31+08:00","CURRENT","Affected runtime/presentation contract or evidence."
"Runtime Contract","37_PlayablePrototype_01_操作與驗收手冊.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\37_PlayablePrototype_01_操作與驗收手冊.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/RuntimeContracts/37_PlayablePrototype_01_操作與驗收手冊.md","13643","2026-08-13T09:29:48+08:00","CURRENT","Affected runtime/presentation contract or evidence."
"Runtime Contract","38_PlayablePrototype_01_架構與維護.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\38_PlayablePrototype_01_架構與維護.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/RuntimeContracts/38_PlayablePrototype_01_架構與維護.md","12830","2026-08-13T09:29:48+08:00","CURRENT","Affected runtime/presentation contract or evidence."
"Runtime Contract","45_Attack_Cadence_OrbWalking_攻速與取消後搖規範.md","C:\projects\Unity\AegisRTS.FrameworkLab\docs\45_Attack_Cadence_OrbWalking_攻速與取消後搖規範.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/RuntimeContracts/45_Attack_Cadence_OrbWalking_攻速與取消後搖規範.md","5826","2026-08-13T12:33:31+08:00","CURRENT","Affected runtime/presentation contract or evidence."
"Collection Task","Infantry_Remaster_Review_Data_Collection_Task.md","C:\projects\Unity\AegisRTS.FrameworkLab\mission\Infantry_Remaster_Review_Data_Collection_Task.md","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Specifications/Task/Infantry_Remaster_Review_Data_Collection_Task.md","19655","2026-08-13T13:39:14+08:00","CURRENT","Task definition used to assemble package."
"Existing Screenshot","PREVIEW_CameraContract_1920x1080_31m_Blue.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Previews\Camera\PREVIEW_CameraContract_1920x1080_31m_Blue.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_1920x1080_31m_Blue.png","9939","2026-08-12T16:46:33+08:00","LEGACY MATHEMATICAL PREVIEW","Generated camera-contract preview; not a Unity capture."
"Existing Screenshot","PREVIEW_CameraContract_1920x1080_31m_Red.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Previews\Camera\PREVIEW_CameraContract_1920x1080_31m_Red.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_1920x1080_31m_Red.png","9928","2026-08-12T16:46:33+08:00","LEGACY MATHEMATICAL PREVIEW","Generated camera-contract preview; not a Unity capture."
"Existing Screenshot","PREVIEW_CameraContract_960x540_31m_Blue.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Previews\Camera\PREVIEW_CameraContract_960x540_31m_Blue.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_960x540_31m_Blue.png","3350","2026-08-12T16:46:33+08:00","LEGACY MATHEMATICAL PREVIEW","Generated camera-contract preview; not a Unity capture."
